Mtest4,false,1527501600658
Mtest3,false,1527501841265
SoundWindow0,70.5809118143113,1527501843864
SoundWindow1,59.631181264501315,1527501843867
Mtest3,true,1527501844265
sensor0_Temperature,26.48,1527501844709
sensor0_Humidity,43.37600140415982,1527501844710
sensor0_Brightness,67.0,1527501844711
sensor1_Temperature,24.25,1527501844712
sensor1_Humidity,44.36256044896643,1527501844712
sensor1_Brightness,53.0,1527501844713
SoundCenter0,69.22698508810913,1527501846174
SoundCenter1,70.69118994218651,1527501846175
SoundCenter2,62.453557702216045,1527501846178
SoundWall0,68.0830419575074,1527501846922
SoundWall1,70.2312667033561,1527501846931
SoundWall2,68.59290289245493,1527501846944
tiltAircon1_Pitch,-154.38,1527501848584
tiltAircon1_Roll,177.86,1527501848584
SoundC,69.11838317407611,1527501849190
SoundC,69.11838317407611,1527501849190
Present,135,1527501849193
Present,135,1527501849193
sensor0_Temperature,26.48,1527501851026
sensor0_Humidity,43.37600140415982,1527501851026
sensor0_Brightness,67.0,1527501851027
sensor1_Temperature,24.25,1527501851027
sensor1_Humidity,44.36256044896643,1527501851027
sensor1_Brightness,53.0,1527501851028
Mtest8,true,1527501851584
Mtest1,true,1527501852652
Aircon1Power,On,1527501853815
SoundWindow0,70.91799206810579,1527501853864
SoundWindow1,60.530521395293995,1527501853867
SoundCenter0,69.55904050612648,1527501856174
SoundCenter1,70.9939117411187,1527501856176
SoundCenter2,63.382053657428465,1527501856176
SoundWall0,68.95990249217753,1527501856922
SoundWall1,70.89756359126135,1527501856931
SoundWall2,69.50237835915776,1527501856944
sensor0_Temperature,26.48,1527501857332
sensor0_Humidity,43.37600140415982,1527501857333
sensor0_Brightness,67.0,1527501857333
sensor1_Temperature,24.25,1527501857334
sensor1_Humidity,44.36256044896643,1527501857334
sensor1_Brightness,53.0,1527501857334
Mtest6,true,1527501857432
seat3BOccupied,false,1527501857432
totalSeatCount,6,1527501857432
Mtest5,true,1527501858432
SoundC,77.19920484509075,1527501859196
SoundC,77.19920484509075,1527501859196
Present,133,1527501859199
Present,133,1527501859199
tiltAircon0_Pitch,-148.77,1527501859852
tiltAircon0_Roll,179.71,1527501859852
sensor0_Temperature,26.48,1527501863642
sensor0_Humidity,43.37600140415982,1527501863643
sensor0_Brightness,67.0,1527501863644
sensor1_Temperature,24.25,1527501863645
sensor1_Humidity,44.36256044896643,1527501863645
sensor1_Brightness,53.0,1527501863646
